lat,lng,dates
61.79,9.93,9/2015
61.77,10.11,9/2015
61.33,11.1,4/2015
69.11,20.11,12/2015
69.31,21.21,12/2015
61.75,9.96,7/2015
61.71,8.44,11/2015
68.99,18.57,11/2015
61.75,9.96,7/2015
62.13,9.11,1/2015
62.74,8.53,1/2015
69.03,18.98,1/2015
65.04,12.54,2/2015
62.9,11.88,3/2015
70.19,29.35,11/2015
62.0,11.98,12/2015
66.38,14.66,10/2015
61.86,10.42,1/2015
69.01,17.67,1/2015
61.05,11.18,2/2015
69.11,20.11,10/2015
61.71,8.44,11/2015
61.93,8.77,9/2015
63.31,9.77,4/2015
62.65,8.75,1/2015
63.99,12.49,4/2015
61.93,8.9,8/2015
69.5,23.43,2/2015
70.48,25.84,4/2015
68.28,16.66,4/2015
69.08,18.97,10/2015
61.98,9.27,10/2015
62.28,8.49,1/2015
61.95,8.88,9/2015
61.97,12.2,11/2015
62.3,10.98,11/2015
64.16,14.12,4/2015
61.75,9.96,7/2015
62.22,11.6,1/2015
68.98,19.21,2/2015
66.91,15.38,9/2015
62.14,9.01,2/2015
60.69,11.2,2/2015
62.25,9.73,1/2015
64.21,13.35,5/2015
63.45,11.5,10/2015
62.13,9.11,1/2015
68.31,16.73,1/2015
66.38,14.66,1/2015
61.62,7.77,6/2015
64.45,14.09,10/2015
69.09,19.36,12/2015
65.62,12.74,9/2015
68.51,17.96,1/2015
61.71,7.39,4/2015
61.78,10.08,9/2015
61.75,11.95,9/2015
62.06,10.78,11/2015
69.4,21.45,11/2015
61.74,9.79,7/2015
65.62,12.74,9/2015
68.51,17.96,1/2015
61.71,7.39,4/2015
61.78,10.08,9/2015
61.75,11.95,9/2015
62.06,10.78,11/2015
69.4,21.45,11/2015
61.74,9.79,7/2015
61.27,10.59,1/2015
68.58,17.32,3/2015
61.45,7.98,4/2015
63.69,11.79,9/2015
66.16,14.25,5/2015
61.51,12.35,9/2015
66.85,13.78,9/2015
61.75,9.96,7/2015
61.32,10.67,1/2015
60.53,10.79,4/2015
67.17,15.79,12/2015
61.62,7.19,4/2015
66.85,13.78,9/2015
61.75,9.96,7/2015
61.32,10.67,1/2015
60.53,10.79,4/2015
67.17,15.79,12/2015
61.94,9.55,8/2015
64.3,13.06,12/2015
70.02,28.64,3/2015
67.12,15.57,1/2015
62.69,9.12,3/2015
61.75,10.09,9/2015
62.03,10.87,11/2015
70.69,27.8,5/2015
70.11,28.35,3/2015
68.62,16.82,4/2015
61.75,9.96,7/2015
69.81,23.15,2/2015
61.88,8.77,1/2015
60.69,11.2,2/2015
60.69,11.2,2/2015
69.87,22.51,6/2015
62.77,8.77,4/2015
62.13,9.11,12/2015
66.42,15.18,10/2015
66.22,14.02,12/2015
61.75,9.96,7/2015
61.75,9.96,7/2015
64.21,13.35,5/2015
61.33,11.12,4/2015
62.26,11.48,5/2015
62.93,11.15,9/2015
62.34,7.54,2/2015
62.3,11.22,3/2015
69.06,19.55,3/2015
61.73,10.14,9/2015
64.21,13.35,5/2015
61.33,11.12,4/2015
62.83,11.51,12/2015
64.3,13.06,12/2015
61.75,9.96,7/2015
68.98,19.21,11/2015
62.51,10.96,5/2015
66.51,14.9,10/2015
69.97,26.78,2/2015
66.51,13.9,1/2015
61.65,7.69,4/2015
61.57,11.33,9/2015
61.76,11.8,9/2015
62.67,9.43,1/2015
69.81,23.09,4/2015
63.21,11.11,4/2015
66.51,13.9,1/2015
63.06,10.98,4/2015
65.19,13.44,4/2015
60.48,12.55,12/2015
69.23,18.08,12/2015
61.78,10.09,9/2015
61.36,8.1,4/2015
61.75,9.96,7/2015
68.95,18.34,1/2015
69.11,25.42,3/2015
61.75,9.96,7/2015
61.75,9.96,7/2015
69.03,25.42,3/2015
61.53,11.14,1/2015
64.14,11.62,1/2015
62.47,11.82,1/2015
62.71,10.15,3/2015
60.35,12.09,3/2015
61.91,9.42,3/2015
62.61,9.74,4/2015
62.01,9.98,3/2015
70.66,23.68,4/2015
62.71,10.15,4/2015
63.66,11.53,9/2015
63.7,11.79,12/2015
61.95,8.84,8/2015
62.79,9.78,8/2015
61.93,8.86,8/2015
61.05,7.84,8/2015
69.8,28.77,2/2015
64.48,13.03,12/2015
69.26,23.54,12/2015
62.6,8.05,10/2015
62.93,11.32,9/2015
66.23,14.38,5/2015
67.03,16.31,5/2015
69.95,25.97,5/2015
60.86,11.81,1/2015
63.33,11.7,1/2015
62.84,9.98,2/2015
62.82,10.08,3/2015
60.36,12.13,3/2015
61.85,10.07,4/2015
61.3,10.88,4/2015
61.3,10.88,4/2015
67.17,15.79,4/2015
62.71,10.15,5/2015
62.71,10.15,4/2015
67.17,15.79,12/2015
61.53,11.14,1/2015
64.14,11.62,1/2015
62.47,11.82,1/2015
62.71,10.15,3/2015
60.35,12.09,3/2015
61.91,9.42,3/2015
62.61,9.74,4/2015
62.01,9.98,3/2015
70.66,23.68,4/2015
62.71,10.15,4/2015
63.66,11.53,9/2015
63.7,11.79,12/2015
61.95,8.84,8/2015
62.79,9.78,8/2015
61.93,8.86,8/2015
61.05,7.84,8/2015
69.56,23.74,1/2015
69.04,23.59,1/2015
62.38,7.31,9/2015
64.05,13.74,1/2015
61.95,8.61,9/2015
64.57,11.88,3/2015
68.38,16.78,10/2015
61.9,8.89,7/2015
62.14,9.17,8/2015
61.91,9.58,8/2015
62.37,8.13,8/2015
65.86,13.05,8/2015
63.64,11.84,8/2015
61.0,7.77,8/2015
62.27,7.74,8/2015
62.28,7.98,8/2015
63.6,11.45,8/2015
61.81,10.04,9/2015
62.67,9.6,9/2015
62.87,9.17,8/2015
61.92,8.82,9/2015
63.55,11.98,9/2015
65.66,12.72,9/2015
59.9,7.03,9/2015
62.01,9.98,3/2015
70.66,23.68,4/2015
62.71,10.15,4/2015
63.66,11.53,9/2015
63.7,11.79,12/2015
61.95,8.84,8/2015
62.79,9.78,8/2015
61.93,8.86,8/2015
61.05,7.84,8/2015
69.56,23.74,1/2015
69.04,23.59,1/2015
62.38,7.31,9/2015
64.05,13.74,1/2015
61.95,8.61,9/2015
64.57,11.88,3/2015
68.38,16.78,10/2015
61.9,8.89,7/2015
62.14,9.17,8/2015
65.08,13.34,2/2015
60.85,11.81,2/2015
63.15,8.65,2/2015
62.71,10.15,2/2015
62.42,11.92,3/2015
60.92,12.06,3/2015
62.71,10.15,3/2015
62.71,10.15,3/2015
62.8,11.93,3/2015
63.33,11.29,4/2015
63.0,11.7,4/2015
62.2,8.34,4/2015
61.3,9.61,12/2015
61.86,8.98,12/2015
63.04,11.73,12/2015
61.02,7.9,9/2015
65.0,12.05,9/2015
61.93,8.9,9/2015
61.95,8.87,9/2015
62.79,9.32,9/2015
67.06,14.76,9/2015
61.95,8.88,9/2015
62.77,9.73,10/2015
62.77,9.72,10/2015
61.98,9.27,10/2015
69.63,23.74,9/2015
68.33,16.68,9/2015
69.48,21.37,11/2015
66.3,14.55,2/2015
61.76,9.94,7/2015
60.74,11.62,2/2015
63.16,8.69,2/2015
62.83,11.62,3/2015
62.37,11.41,4/2015
59.65,7.42,3/2015
67.73,14.77,4/2015
62.71,10.15,5/2015
65.08,13.34,2/2015
60.85,11.81,2/2015
63.15,8.65,2/2015
62.71,10.15,2/2015
62.42,11.92,3/2015
59.91,7.01,9/2015
59.94,7.06,9/2015
62.39,7.35,9/2015
61.94,8.68,9/2015
62.08,8.8,9/2015
68.23,16.68,9/2015
69.04,23.17,12/2015
66.18,13.97,2/2015
69.14,22.39,4/2015
64.95,13.84,5/2015
62.26,10.02,6/2015
62.39,7.74,9/2015
62.38,8.12,8/2015
61.96,8.9,7/2015
63.64,11.83,8/2015
61.26,5.91,1/2015
63.03,9.67,1/2015
62.5,7.32,3/2015
62.85,9.77,3/2015
60.25,11.95,2/2015
61.9,9.58,7/2015
65.48,13.54,10/2015
69.26,23.54,12/2015
63.64,11.79,7/2015
61.76,9.94,7/2015
61.87,10.1,6/2015
64.11,12.4,8/2015
61.93,8.87,8/2015
61.96,8.89,8/2015
65.86,13.04,8/2015
62.05,8.5,8/2015
61.95,9.5,8/2015
61.93,8.86,8/2015
62.05,8.36,9/2015
63.19,11.78,9/2015
61.81,10.06,9/2015
61.95,8.88,9/2015
59.91,7.01,9/2015
59.94,7.06,9/2015
62.39,7.35,9/2015
61.94,8.68,9/2015
62.08,8.8,9/2015
68.23,16.68,9/2015
69.04,23.17,12/2015
66.18,13.97,2/2015
69.14,22.39,4/2015
64.95,13.84,5/2015
62.26,10.02,6/2015
62.39,7.74,9/2015
62.38,8.12,8/2015
61.96,8.9,7/2015
63.64,11.83,8/2015
61.26,5.91,1/2015
63.03,9.67,1/2015
62.5,7.32,3/2015
62.85,9.77,3/2015
60.25,11.95,2/2015
63.16,11.77,3/2015
62.91,8.9,3/2015
61.93,5.84,4/2015
62.04,10.67,4/2015
64.37,12.22,4/2015
64.65,12.38,5/2015
59.46,7.04,9/2015
67.17,15.79,12/2015
61.93,8.86,8/2015
60.95,7.89,9/2015
62.56,10.49,9/2015
66.97,15.22,8/2015
65.85,13.02,9/2015
61.95,8.88,9/2015
59.92,6.98,9/2015
68.37,16.66,8/2015
62.38,7.44,9/2015
62.38,7.44,9/2015
67.09,14.65,1/2015
61.67,9.11,9/2015
70.01,28.56,1/2015
64.36,12.91,10/2015
69.64,24.63,2/2015
66.93,13.64,3/2015
68.34,16.72,10/2015
69.68,23.71,5/2015
64.21,13.35,5/2015
66.41,15.36,6/2015
61.96,8.9,7/2015
61.73,9.94,7/2015
61.76,9.94,7/2015
62.44,7.41,1/2015
62.01,9.98,1/2015
62.01,9.97,2/2015
60.58,12.48,1/2015
64.61,12.41,2/2015
60.74,11.37,2/2015
62.86,10.05,3/2015
63.13,11.74,3/2015
62.14,10.05,4/2015
68.26,16.89,4/2015
63.31,9.77,4/2015
63.3,11.26,4/2015
62.39,8.29,8/2015
61.78,10.14,8/2015
61.94,9.55,8/2015
66.71,15.68,5/2015
61.99,8.94,8/2015
62.47,10.65,8/2015
61.92,8.86,9/2015
61.95,8.88,9/2015
61.88,10.39,9/2015
62.39,7.8,9/2015
68.96,18.88,1/2015
69.1,19.04,2/2015
62.38,7.45,9/2015
65.04,12.34,1/2015
66.85,13.79,9/2015
61.73,10.1,9/2015
69.78,29.13,2/2015
61.98,9.31,9/2015
62.08,9.56,9/2015
64.74,13.15,12/2015
59.95,7.05,9/2015
65.93,14.13,11/2015
68.68,18.52,3/2015
64.91,13.3,12/2015
69.05,20.49,2/2015
61.91,8.78,7/2015
65.89,12.99,7/2015
61.92,8.86,8/2015
61.95,8.98,3/2015
63.24,11.59,3/2015
69.17,19.18,4/2015
61.16,5.89,7/2015
66.11,13.61,11/2015
63.78,12.39,12/2015
62.71,10.15,12/2015
61.91,9.58,8/2015
62.78,9.79,8/2015
62.0,10.15,8/2015
63.59,11.94,9/2015
59.91,6.99,9/2015
61.94,9.55,8/2015
66.71,15.68,5/2015
61.99,8.94,8/2015
62.47,10.65,8/2015
61.92,8.86,9/2015
61.95,8.88,9/2015
61.88,10.39,9/2015
62.39,7.8,9/2015
68.96,18.88,1/2015
69.1,19.04,2/2015
62.38,7.45,9/2015
65.04,12.34,1/2015
66.85,13.79,9/2015
61.73,10.1,9/2015
69.78,29.13,2/2015
61.98,9.31,9/2015
62.08,9.56,9/2015
64.74,13.15,12/2015
59.95,7.05,9/2015
65.93,14.13,11/2015
64.91,13.3,12/2015
69.05,20.49,2/2015
61.91,8.78,7/2015
65.89,12.99,7/2015
61.92,8.86,8/2015
61.95,8.98,3/2015
63.24,11.59,3/2015
69.17,19.18,4/2015
61.16,5.89,7/2015
66.11,13.61,11/2015
63.78,12.39,12/2015
62.71,10.15,12/2015
61.91,9.58,8/2015
62.78,9.79,8/2015
62.0,10.15,8/2015
63.59,11.94,9/2015
59.91,6.99,9/2015
68.39,16.79,9/2015
59.94,7.07,9/2015
65.01,12.1,9/2015
62.47,10.65,8/2015
61.92,8.86,9/2015
61.95,8.88,9/2015
61.88,10.39,9/2015
62.39,7.8,9/2015
68.96,18.88,1/2015
69.1,19.04,2/2015
62.38,7.45,9/2015
65.04,12.34,1/2015
66.85,13.79,9/2015
61.73,10.1,9/2015
69.78,29.13,2/2015
61.98,9.31,9/2015
62.08,9.56,9/2015
64.74,13.15,12/2015
59.95,7.05,9/2015
65.93,14.13,11/2015
68.68,18.52,3/2015
64.91,13.3,12/2015
69.05,20.49,2/2015
61.91,8.78,7/2015
65.89,12.99,7/2015
61.92,8.86,8/2015
61.95,8.98,3/2015
63.24,11.59,3/2015
69.17,19.18,4/2015
61.16,5.89,7/2015
66.11,13.61,11/2015
63.78,12.39,12/2015
62.71,10.15,12/2015
61.91,9.58,8/2015
62.78,9.79,8/2015
62.0,10.15,8/2015
63.59,11.94,9/2015
59.91,6.99,9/2015
68.39,16.79,9/2015
59.94,7.07,9/2015
65.01,12.1,9/2015
59.9,7.01,9/2015
62.39,7.35,9/2015
69.5,23.77,10/2015
69.99,26.59,3/2015
62.63,10.68,9/2015
66.11,14.14,3/2015
64.16,14.11,4/2015
61.72,9.72,7/2015
61.76,9.95,7/2015
61.78,10.01,7/2015
62.86,11.73,1/2015
63.16,8.68,2/2015
67.17,15.79,2/2015
62.4,9.84,3/2015
60.27,11.93,3/2015
64.31,12.11,3/2015
62.92,8.92,3/2015
62.79,9.79,4/2015
62.71,10.15,5/2015
63.09,11.1,11/2015
62.81,9.93,2/2015
60.86,11.89,3/2015
62.15,11.31,8/2015
63.58,11.9,9/2015
61.77,10.05,7/2015
61.95,8.88,9/2015
59.9,7.02,9/2015
62.76,9.83,10/2015
61.99,9.31,9/2015
62.83,9.84,10/2015
70.04,28.8,1/2015
64.33,12.28,3/2015
62.68,8.77,9/2015
62.69,11.94,9/2015
66.93,13.64,3/2015
68.34,16.72,10/2015
69.68,23.71,5/2015
64.21,13.35,5/2015
66.41,15.36,6/2015
61.96,8.9,7/2015
61.73,9.94,7/2015
61.76,9.94,7/2015
66.11,14.14,3/2015
64.16,14.11,4/2015
61.72,9.72,7/2015
61.76,9.95,7/2015
61.78,10.01,7/2015
62.86,11.73,1/2015
63.16,8.68,2/2015
67.17,15.79,2/2015
62.4,9.84,3/2015
60.27,11.93,3/2015
64.31,12.11,3/2015
62.92,8.92,3/2015
62.79,9.79,4/2015
62.71,10.15,5/2015
63.09,11.1,11/2015
61.92,8.79,8/2015
61.93,8.86,8/2015
62.4,7.82,9/2015
62.43,8.11,8/2015
63.59,11.9,8/2015
61.02,7.34,4/2015
62.71,10.15,4/2015
62.71,10.15,5/2015
70.02,27.24,10/2015
64.63,12.38,12/2015
62.32,7.81,8/2015
65.87,12.99,8/2015
65.85,13.05,8/2015
62.74,9.7,9/2015
61.02,7.89,9/2015
63.6,11.45,8/2015
62.29,7.95,9/2015
61.71,8.2,9/2015
69.31,20.3,1/2015
68.34,16.72,7/2015
66.99,15.27,9/2015
68.37,16.74,9/2015
69.94,28.57,1/2015
68.76,25.1,4/2015
69.26,23.54,12/2015
62.86,11.73,1/2015
63.16,8.68,2/2015
67.17,15.79,2/2015
62.4,9.84,3/2015
60.27,11.93,3/2015
64.31,12.11,3/2015
62.92,8.92,3/2015
62.79,9.79,4/2015
62.71,10.15,5/2015
63.09,11.1,11/2015
61.79,10.12,8/2015
62.87,9.48,9/2015
62.01,10.68,9/2015
61.94,8.87,9/2015
59.89,7.03,9/2015
64.31,12.65,1/2015
62.39,7.73,9/2015
65.05,12.31,1/2015
61.73,10.1,9/2015
64.97,12.31,3/2015
69.78,29.14,2/2015
68.61,17.83,5/2015
67.35,16.03,6/2015
61.89,9.54,7/2015
61.77,9.94,7/2015
61.87,10.11,6/2015
63.85,11.87,1/2015
60.56,11.59,2/2015
62.43,11.16,3/2015
62.71,10.15,3/2015
64.71,12.17,3/2015
62.55,9.38,4/2015
62.01,9.97,3/2015
63.19,11.78,4/2015
59.81,7.2,3/2015
