"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Askøy";74.42;22.73;2.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Vaksdal";17.88;23.04;90.41;189.85;334.87;79.98;1.70;0.00;0.00;0.00
"Modalen";9.66;13.58;35.71;108.07;144.63;72.96;0.36;0.00;0.00;0.00
"Osterøy";34.92;45.72;87.96;72.53;13.02;0.00;0.00;0.00;0.00;0.00
"Meland";59.68;22.60;8.77;0.24;0.00;0.00;0.00;0.00;0.00;0.00
"Øygarden";65.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Radøy";96.31;13.35;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Lindås";131.88;145.32;66.33;80.51;48.34;1.70;0.00;0.00;0.00;0.00
"Austrheim";55.62;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Fedje";9.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Masfjorden";66.82;56.07;73.20;166.42;184.31;11.38;0.00;0.00;0.00;0.00
"Flora";139.00;117.00;95.00;196.00;88.58;46.00;9.00;2.50;0.00;0.00
"Gulen";146.30;87.73;95.83;205.35;60.87;0.00;0.00;0.00;0.00;0.00
"Solund";138.53;46.65;28.46;14.36;0.00;0.00;0.00;0.00;0.00;0.00
"Hyllestad";36.11;50.30;82.34;82.87;7.43;0.00;0.00;0.00;0.00;0.00
"Høyanger";31.96;40.44;71.31;253.09;324.25;168.30;18.12;0.00;0.00;0.00
"Vik";18.30;22.00;37.80;138.50;194.90;312.60;92.20;11.70;0.00;0.00
"Balestrand";23.00;10.00;41.00;10.00;69.00;138.00;137.00;2.00;0.00;0.00
"Leikanger";3.50;5.10;13.50;47.20;70.10;10.20;34.40;1.00;0.00;0.00
"Sogndal";23.00;28.50;58.50;185.50;267.00;89.00;33.50;60.00;0.00;0.00
"Aurland";18.40;19.01;29.39;67.30;131.65;365.71;632.36;224.77;0.12;0.00
