"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Båtsfjord";71.00;147.70;532.50;681.60;0.80;0.00;0.00;0.00;0.00;0.00
"Sør-Varanger";504.40;1705.50;1512.40;245.00;0.00;0.00;0.00;0.00;0.00;0.00

"Source: Norwegian mapping Authority."

"1 January 2017 the municipalities 0706 Sandefjord, 0719 Andebu and "
"most of 0720 Stokke were merged to new municipality 0710 Sandefjord. "
"Also an area of 3 km2, with about 2 200 persons, was transferred from "
"Stokke to 0704 Tønsberg."

"Name changed from Slemdal in 1919."

"Name changed from Liknes in 1917."

"1 January 2006  1154 Vindafjord and 1159 Ølen were merged to 1160 "
"Vindafjord."

"1 January 2008 1503 Kristiansund and 1556 Frei were merged to 1505 "
"Kristiansund."

"An area with 380 inhabitants was per 1 January 2002 transferred from "
"1514 Sande to 1511 Vanylven."

"An area with 380 inhabitants was per 1 January 2002 transferred from "
"1514 Sande to 1511 Vanylven."

"1 January 2006 1569 Aure and 1572 Tustna were merged to 1576 Aure."

"1 January 2012 1723 Mosvik and 1729 Inderøy were merged to 1756 "
"Inderøy."

"1 January 2005 1804 Bodø and 1842 Skjerstad were merged to 1804 Bodø."

"1 January 2013 1901 Harstad and 1915 Bjarkøy were merged to 1903 "
"Harstad."

