"Protected area, by region, protected area, time  and  contents"

"County";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" ";" ";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)"
" ";"Nature reserves";..;33.74;33.74;..;..;..;48.17;..;50.12;50.11;50.39;50.39;51.19;54.52;56.23;56.00;56.00;61.45;61.95
" ";"Landscape protected areas";..;7.18;755.08;..;..;..;828.06;..;881.19;880.97;880.97;880.97;881.27;881.27;881.13;877.29;877.29;878.12;878.12
" ";"Other protections";..;4.72;4.72;..;..;..;4.53;..;4.53;4.51;4.51;4.51;4.52;4.52;4.51;4.48;4.49;4.40;4.40
"Rogaland"
" ";"National parks";..;0.00;0.00;..;..;..;0.00;..;0.00;..;..;..;..;..;..;..;..;..;..
" ";"Nature reserves";..;57.90;58.21;..;..;..;61.15;..;61.77;61.59;61.57;61.57;61.51;61.51;61.57;61.22;66.94;66.99;67.15
" ";"Landscape protected areas";..;666.99;702.09;..;..;..;1053.20;..;1053.14;1049.03;1045.93;1052.45;1052.49;1052.49;1052.56;1047.57;1047.46;1047.09;1047.13
" ";"Other protections";..;3.47;3.47;..;..;..;14.10;..;14.05;31.37;35.35;37.17;36.90;36.90;37.19;36.25;36.43;36.40;36.37
"Hordaland"
" ";"National parks";..;1813.00;1813.00;..;..;..;1825.33;..;2373.59;2464.05;2464.05;2464.05;2464.05;2464.05;2463.89;2453.93;2453.93;2453.93;2453.93
" ";"Nature reserves";..;81.88;84.55;..;..;..;84.07;..;84.07;84.05;84.05;84.01;84.01;84.04;84.04;83.33;83.55;88.02;88.03
" ";"Landscape protected areas";..;466.67;467.78;..;..;..;523.14;..;577.80;577.37;577.37;577.37;577.37;577.37;577.43;575.00;575.28;575.30;575.29
" ";"Other protections";..;0.00;0.00;..;..;..;0.00;..;0.03;6.80;6.80;6.81;6.81;6.81;6.81;6.79;6.79;6.79;6.78
"Bergen ( -1971)"
" ";"National parks";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"Nature reserves";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"Landscape protected areas";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
" ";"Other protections";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Sogn og Fjordane"
" ";"National parks";..;1467.80;1547.80;..;..;..;1554.07;..;1554.12;1561.58;1561.58;1561.58;2054.49;2054.49;2054.51;2047.69;2047.69;2047.19;2047.19
" ";"Nature reserves";..;96.51;96.51;..;..;..;97.11;..;155.81;153.35;153.35;153.35;165.37;167.72;167.72;167.02;167.02;166.63;179.23
" ";"Landscape protected areas";..;614.84;614.84;..;..;..;1118.28;..;1178.40;1178.42;1178.49;1178.48;1864.88;1864.88;1864.84;1857.33;1857.33;1857.64;1857.72
" ";"Other protections";..;3.69;3.69;..;..;..;3.70;..;3.70;3.70;3.70;3.70;3.71;3.71;3.70;3.69;3.69;3.73;3.73
"Møre og Romsdal"
" ";"National parks";..;0.00;0.00;..;..;..;583.02;..;583.03;1191.47;1191.47;1191.47;1191.47;1191.47;1191.47;1188.88;1188.88;1188.87;1188.87
