lat,lng,dates
69.25,19.02,2010-08-01
68.68,17.25,2010-08-01
68.67,17.07,2010-09-01
68.85,18.17,2010-10-01
69.5,21.35,2010-11-01
68.66,17.34,2010-02-01
68.94,18.84,2010-01-01
66.87,15.38,2010-11-01
64.81,12.07,2010-03-01
68.65,17.28,2010-03-01
69.24,20.16,2010-02-01
65.03,12.97,2010-03-01
61.42,8.0,2010-04-01
68.82,17.68,2010-03-01
61.37,10.47,2010-07-01
69.55,21.3,2010-09-01
68.64,17.07,2010-09-01
68.69,17.14,2010-07-01
69.3,20.69,2010-02-01
68.66,17.4,2010-02-01
64.81,12.07,2010-03-01
61.37,10.47,2010-07-01
69.55,21.3,2010-09-01
68.64,17.07,2010-09-01
68.69,17.14,2010-07-01
69.3,20.69,2010-02-01
68.66,17.4,2010-02-01
69.65,21.44,2010-05-01
69.65,21.44,2010-05-01
62.51,9.05,2010-01-01
61.61,10.52,2010-09-01
69.69,21.27,2010-08-01
62.29,10.48,2010-10-01
60.97,7.63,2010-03-01
68.73,18.13,2010-08-01
68.63,17.14,2010-09-01
66.28,14.88,2010-11-01
69.3,20.7,2010-02-01
69.21,19.01,2010-03-01
69.32,20.31,2010-02-01
61.66,7.84,2010-04-01
67.25,15.85,2010-09-01
62.08,10.8,2010-10-01
64.68,12.09,2010-03-01
62.06,10.92,2010-11-01
69.3,18.41,2010-03-01
70.6,24.73,2010-11-01
65.82,32.2,2010-01-01
68.91,18.84,2010-12-01
69.14,21.0,2010-12-01
68.65,16.95,2010-08-01
68.66,16.86,2010-10-01
66.53,14.35,2010-09-01
60.79,11.55,2010-12-01
68.94,18.87,2010-12-01
68.65,16.96,2010-08-01
62.91,9.0,2010-01-01
70.22,27.72,2010-02-01
70.22,27.45,2010-02-01
69.3,20.69,2010-02-01
68.62,17.05,2010-09-01
63.36,11.73,2010-01-01
69.25,20.25,2010-03-01
69.14,20.96,2010-12-01
68.71,18.15,2010-09-01
69.04,18.98,2010-11-01
69.27,22.07,2010-05-01
61.28,12.51,2010-01-01
63.0,9.67,2010-01-01
69.3,20.51,2010-03-01
61.67,7.73,2010-03-01
67.0,27.0,2010-01-01
68.92,18.84,2010-12-01
68.71,17.25,2010-08-01
69.69,21.28,2010-07-01
69.52,21.27,2010-11-01
61.68,10.54,2010-09-01
69.63,29.84,2010-01-01
61.47,12.3,2010-02-01
69.52,21.27,2010-11-01
61.68,10.54,2010-09-01
69.63,29.84,2010-01-01
61.47,12.3,2010-02-01
68.9,18.89,2010-12-01
68.9,18.85,2010-11-01
68.68,17.29,2010-08-01
68.7,17.13,2010-07-01
68.69,17.25,2010-08-01
68.65,16.96,2010-09-01
69.07,20.16,2010-11-01
69.68,25.05,2010-12-01
68.95,18.79,2010-01-01
69.26,20.39,2010-03-01
69.12,20.74,2010-12-01
62.23,11.96,2010-09-01
68.2,17.51,2010-10-01
68.85,17.81,2010-02-01
67.13,18.5,2010-01-01
68.87,18.79,2010-03-01
64.08,12.36,2010-02-01
61.44,8.05,2010-03-01
62.19,11.16,2010-10-01
62.03,10.41,2010-12-01
62.08,8.34,2010-09-01
68.98,19.21,2010-11-01
70.15,29.19,2010-02-01
59.48,7.1,2010-04-01
68.91,18.84,2010-12-01
68.69,17.26,2010-08-01
69.79,21.25,2010-07-01
69.31,20.69,2010-02-01
68.66,17.36,2010-02-01
63.35,9.68,2010-12-01
68.92,18.83,2010-12-01
69.17,19.17,2010-12-01
68.69,17.16,2010-09-01
68.66,17.36,2010-02-01
67.32,15.57,2010-02-01
68.92,17.89,2010-02-01
68.95,33.17,2010-01-01
68.7,17.13,2010-07-01
69.03,24.78,2010-12-01
66.28,14.63,2010-05-01
69.58,30.57,2010-01-01
68.85,17.81,2010-01-01
70.18,29.5,2010-02-01
69.14,21.04,2010-12-01
61.74,9.79,2010-08-01
69.18,18.93,2010-12-01
68.73,18.13,2010-08-01
68.94,18.84,2010-01-01
69.93,29.04,2010-01-01
68.92,18.85,2010-12-01
68.68,17.19,2010-08-01
68.73,17.26,2010-06-01
68.74,18.13,2010-09-01
62.7,7.82,2010-03-01
64.56,11.86,2010-02-01
58.16,12.3,2010-04-01
69.14,21.04,2010-12-01
61.74,9.79,2010-08-01
69.18,18.93,2010-12-01
68.73,18.13,2010-08-01
68.94,18.84,2010-01-01
69.93,29.04,2010-01-01
68.85,17.81,2010-09-01
68.84,17.8,2010-09-01
69.34,21.23,2010-11-01
61.53,10.6,2010-06-01
69.72,23.22,2010-02-01
62.81,8.34,2010-10-01
61.9,12.11,2010-12-01
63.07,10.14,2010-09-01
68.95,18.87,2010-01-01
68.62,17.1,2010-09-01
69.55,23.4,2010-02-01
70.34,27.62,2010-02-01
69.3,20.66,2010-02-01
66.87,14.64,2010-11-01
68.94,18.62,2010-02-01
67.67,16.25,2010-06-01
64.0,26.0,2010-01-01
64.0,32.5,2010-01-01
69.06,19.17,2010-12-01
68.92,18.85,2010-12-01
68.68,17.14,2010-09-01
68.69,17.14,2010-10-01
69.03,24.79,2010-12-01
69.31,20.7,2010-02-01
69.25,20.4,2010-03-01
65.03,13.0,2010-03-01
62.28,8.98,2010-09-01
62.69,8.62,2010-04-01
61.69,11.96,2010-12-01
70.22,28.51,2010-01-01
70.28,28.8,2010-02-01
62.73,8.79,2010-07-01
61.85,9.6,2010-08-01
61.85,9.6,2010-08-01
61.8,10.08,2010-08-01
62.71,10.85,2010-09-01
70.19,28.64,2010-08-01
62.83,9.41,2010-09-01
62.69,9.36,2010-09-01
61.75,9.98,2010-09-01
61.64,9.93,2010-09-01
61.65,9.94,2010-09-01
62.06,9.36,2010-09-01
67.01,15.33,2010-10-01
69.5,25.09,2010-11-01
62.56,7.23,2010-08-01
69.32,24.12,2010-03-01
69.05,23.58,2010-03-01
70.1,24.82,2010-03-01
68.76,23.41,2010-03-01
70.43,25.97,2010-03-01
61.53,10.6,2010-06-01
61.51,10.64,2010-07-01
68.97,19.45,2010-12-01
61.37,10.47,2010-07-01
61.37,10.47,2010-07-01
62.13,8.47,2010-07-01
62.47,8.98,2010-08-01
64.06,11.99,2010-08-01
69.82,21.52,2010-06-01
61.69,10.5,2010-08-01
62.01,9.59,2010-08-01
62.86,8.93,2010-08-01
61.31,9.91,2010-08-01
62.02,8.88,2010-08-01
62.04,9.47,2010-09-01
61.65,9.94,2010-09-01
69.24,22.41,2010-11-01
65.64,12.75,2010-12-01
69.91,29.01,2010-02-01
64.65,12.39,2010-02-01
70.1,24.82,2010-03-01
68.76,23.41,2010-03-01
70.43,25.97,2010-03-01
61.53,10.6,2010-06-01
61.51,10.64,2010-07-01
68.97,19.45,2010-12-01
63.77,12.18,2010-11-01
61.37,10.47,2010-07-01
62.22,9.91,2010-07-01
61.91,10.46,2010-07-01
61.56,7.2,2010-08-01
62.26,9.77,2010-08-01
61.76,8.36,2010-08-01
61.7,9.82,2010-08-01
61.85,9.6,2010-08-01
62.68,10.69,2010-08-01
61.93,9.55,2010-08-01
62.41,7.81,2010-08-01
62.32,9.76,2010-08-01
62.19,9.95,2010-08-01
65.64,12.75,2010-12-01
69.91,29.01,2010-02-01
64.65,12.39,2010-02-01
63.66,11.88,2010-03-01
70.08,27.53,2010-03-01
64.29,13.02,2010-04-01
69.93,25.16,2010-03-01
63.68,11.89,2010-11-01
61.56,7.2,2010-08-01
62.35,10.23,2010-07-01
61.94,9.54,2010-08-01
61.61,7.22,2010-08-01
61.8,10.08,2010-08-01
62.34,9.74,2010-09-01
62.69,9.36,2010-09-01
62.79,10.66,2010-09-01
61.69,9.93,2010-09-01
59.59,7.01,2010-08-01
65.96,12.81,2010-10-01
64.69,12.44,2010-01-01
64.68,12.17,2010-02-01
62.44,11.58,2010-02-01
69.22,23.89,2010-03-01
69.13,22.05,2010-04-01
61.51,10.64,2010-06-01
63.04,30.64,2010-07-01
61.91,10.46,2010-07-01
61.26,10.03,2010-08-01
61.61,7.16,2010-08-01
69.74,21.2,2010-07-01
61.92,9.56,2010-08-01
61.99,9.57,2010-08-01
61.69,9.86,2010-08-01
66.36,14.45,2010-08-01
61.46,10.56,2010-09-01
62.31,10.19,2010-09-01
62.82,8.45,2010-08-01
62.67,8.78,2010-08-01
62.52,9.28,2010-09-01
62.11,9.37,2010-09-01
67.81,15.82,2010-10-01
62.57,7.23,2010-08-01
69.2,22.27,2010-11-01
69.06,25.16,2010-12-01
64.78,12.71,2010-02-01
64.65,12.39,2010-02-01
69.61,24.48,2010-03-01
64.17,13.08,2010-05-01
64.36,13.3,2010-05-01
70.07,23.97,2010-04-01
62.14,8.45,2010-07-01
61.65,10.05,2010-08-01
70.5,26.15,2010-04-01
65.9,12.72,2010-08-01
62.14,10.87,2010-08-01
62.29,9.77,2010-08-01
67.83,15.78,2010-09-01
61.46,10.56,2010-09-01
62.35,10.24,2010-08-01
62.53,10.69,2010-09-01
61.99,9.57,2010-08-01
61.69,9.86,2010-08-01
66.36,14.45,2010-08-01
61.46,10.56,2010-09-01
62.31,10.19,2010-09-01
62.82,8.45,2010-08-01
62.67,8.78,2010-08-01
62.52,9.28,2010-09-01
62.11,9.37,2010-09-01
67.81,15.82,2010-10-01
62.57,7.23,2010-08-01
69.2,22.27,2010-11-01
69.06,25.16,2010-12-01
64.78,12.71,2010-02-01
64.65,12.39,2010-02-01
69.61,24.48,2010-03-01
64.17,13.08,2010-05-01
64.36,13.3,2010-05-01
70.07,23.97,2010-04-01
62.14,8.45,2010-07-01
61.65,10.05,2010-08-01
70.5,26.15,2010-04-01
65.9,12.72,2010-08-01
62.14,10.87,2010-08-01
62.29,9.77,2010-08-01
67.83,15.78,2010-09-01
61.46,10.56,2010-09-01
62.35,10.24,2010-08-01
62.53,10.69,2010-09-01
62.51,9.36,2010-09-01
62.77,10.65,2010-09-01
61.72,9.91,2010-09-01
62.61,9.12,2010-09-01
61.81,10.03,2010-09-01
66.98,14.66,2010-09-01
62.47,8.98,2010-08-01
62.73,10.85,2010-09-01
62.11,9.37,2010-09-01
62.66,9.78,2010-10-01
61.77,9.89,2010-09-01
62.77,10.83,2010-09-01
62.62,9.41,2010-09-01
61.91,9.54,2010-08-01
61.77,10.13,2010-09-01
62.01,9.32,2010-09-01
61.69,9.93,2010-09-01
62.78,10.65,2010-10-01
70.3,28.7,2010-11-01
62.9,11.37,2010-05-01
68.91,25.61,2010-12-01
66.99,15.23,2010-12-01
69.62,24.9,2010-01-01
64.39,12.89,2010-03-01
62.24,10.57,2010-07-01
62.34,9.68,2010-07-01
61.77,8.34,2010-08-01
62.49,8.97,2010-08-01
67.58,15.6,2010-12-01
62.37,9.34,2010-08-01
61.47,10.57,2010-08-01
62.22,11.59,2010-09-01
63.81,12.06,2010-08-01
62.67,9.4,2010-09-01
62.82,8.45,2010-08-01
62.78,10.66,2010-09-01
62.04,9.43,2010-09-01
61.64,9.93,2010-09-01
62.3,9.91,2010-09-01
61.55,7.7,2010-10-01
70.35,28.39,2010-12-01
69.33,22.08,2010-11-01
69.04,19.08,2010-01-01
68.33,17.56,2010-01-01
69.65,24.82,2010-02-01
64.55,11.69,2010-02-01
63.64,11.73,2010-03-01
69.52,25.5,2010-03-01
64.27,12.62,2010-03-01
70.41,27.83,2010-04-01
64.3,13.13,2010-04-01
69.62,24.9,2010-01-01
64.39,12.89,2010-03-01
62.24,10.57,2010-07-01
62.34,9.68,2010-07-01
61.77,8.34,2010-08-01
62.49,8.97,2010-08-01
67.58,15.6,2010-12-01
62.37,9.34,2010-08-01
61.47,10.57,2010-08-01
62.22,11.59,2010-09-01
63.81,12.06,2010-08-01
62.67,9.4,2010-09-01
62.82,8.45,2010-08-01
62.78,10.66,2010-09-01
62.04,9.43,2010-09-01
61.64,9.93,2010-09-01
62.3,9.91,2010-09-01
61.55,7.7,2010-10-01
70.35,28.39,2010-12-01
69.33,22.08,2010-11-01
62.68,8.77,2010-08-01
66.98,14.66,2010-10-01
62.46,10.48,2010-10-01
69.39,29.46,2010-11-01
69.32,22.07,2010-11-01
59.59,7.0,2010-08-01
69.75,23.42,2010-01-01
65.78,13.38,2010-02-01
66.33,13.69,2010-02-01
70.02,29.01,2010-04-01
70.08,23.96,2010-04-01
65.8,13.38,2010-04-01
69.03,24.96,2010-04-01
70.24,24.64,2010-05-01
66.29,14.61,2010-04-01
70.66,28.86,2010-05-01
65.15,13.23,2010-06-01
61.95,9.55,2010-08-01
61.59,7.2,2010-08-01
62.29,10.29,2010-09-01
62.74,10.87,2010-09-01
62.25,9.73,2010-09-01
62.51,10.48,2010-09-01
62.5,10.52,2010-09-01
62.5,10.52,2010-09-01
62.6,10.13,2010-09-01
66.92,13.79,2010-09-01
62.68,8.77,2010-08-01
66.98,14.66,2010-10-01
62.46,10.48,2010-10-01
69.39,29.46,2010-11-01
69.32,22.07,2010-11-01
59.59,7.0,2010-08-01
69.75,23.42,2010-01-01
65.78,13.38,2010-02-01
66.33,13.69,2010-02-01
70.02,29.01,2010-04-01
70.08,23.96,2010-04-01
65.8,13.38,2010-04-01
69.03,24.96,2010-04-01
61.01,12.19,2010-10-01
61.37,10.47,2010-07-01
61.37,10.47,2010-07-01
62.14,8.45,2010-07-01
61.37,8.95,2010-08-01
62.2,11.68,2010-07-01
61.56,7.2,2010-08-01
62.71,10.84,2010-08-01
62.58,7.28,2010-08-01
67.63,15.78,2010-09-01
66.98,14.66,2010-09-01
62.74,10.87,2010-09-01
62.25,9.73,2010-09-01
62.51,10.48,2010-09-01
62.5,10.52,2010-09-01
62.5,10.52,2010-09-01
62.6,10.13,2010-09-01
66.92,13.79,2010-09-01
62.68,8.77,2010-08-01
66.98,14.66,2010-10-01
67.81,15.82,2010-10-01
64.55,11.91,2010-12-01
69.68,25.04,2010-12-01
64.96,12.62,2010-01-01
69.03,24.77,2010-03-01
69.7,24.73,2010-03-01
63.93,12.28,2010-05-01
65.79,13.39,2010-04-01
66.32,13.59,2010-05-01
61.01,12.19,2010-10-01
61.37,10.47,2010-07-01
61.37,10.47,2010-07-01
62.14,8.45,2010-07-01
61.37,8.95,2010-08-01
62.2,11.68,2010-07-01
61.56,7.2,2010-08-01
62.71,10.84,2010-08-01
62.58,7.28,2010-08-01
67.63,15.78,2010-09-01
66.98,14.66,2010-09-01
62.32,9.76,2010-08-01
62.19,9.95,2010-08-01
62.75,10.83,2010-09-01
62.8,10.83,2010-09-01
62.72,9.41,2010-09-01
61.9,9.58,2010-08-01
61.91,9.55,2010-08-01
67.62,15.75,2010-09-01
70.16,29.02,2010-10-01
62.49,6.99,2010-09-01
69.99,28.12,2010-12-01
64.77,13.1,2010-11-01
65.02,12.83,2010-01-01
69.79,28.61,2010-03-01
66.35,13.57,2010-06-01
61.53,10.6,2010-06-01
62.67,9.43,2010-01-01
61.37,10.47,2010-07-01
62.33,9.7,2010-07-01
62.24,9.99,2010-07-01
61.55,7.7,2010-09-01
62.52,9.28,2010-09-01
62.5,10.54,2010-09-01
61.65,9.94,2010-09-01
66.88,14.76,2010-09-01
61.84,8.85,2010-10-01
66.26,14.59,2010-12-01
64.97,13.8,2010-01-01
69.5,23.7,2010-02-01
64.07,12.24,2010-03-01
64.66,12.54,2010-03-01
64.37,12.88,2010-04-01
69.03,24.96,2010-04-01
65.28,13.66,2010-05-01
66.61,15.16,2010-05-01
66.54,15.01,2010-04-01
61.51,10.63,2010-06-01
61.53,10.6,2010-06-01
62.33,9.72,2010-07-01
62.13,8.46,2010-07-01
62.76,9.74,2010-08-01
62.71,8.7,2010-08-01
60.33,11.92,2010-07-01
61.56,7.22,2010-09-01
62.32,7.81,2010-08-01
61.55,7.7,2010-09-01
62.6,9.12,2010-09-01
61.55,7.7,2010-09-01
62.52,9.28,2010-09-01
62.5,10.54,2010-09-01
61.65,9.94,2010-09-01
66.88,14.76,2010-09-01
61.84,8.85,2010-10-01
66.26,14.59,2010-12-01
64.97,13.8,2010-01-01
69.5,23.7,2010-02-01
64.07,12.24,2010-03-01
64.66,12.54,2010-03-01
64.37,12.88,2010-04-01
69.03,24.96,2010-04-01
64.07,12.24,2010-03-01
64.66,12.54,2010-03-01
64.37,12.88,2010-04-01
69.03,24.96,2010-04-01
65.28,13.66,2010-05-01
66.61,15.16,2010-05-01
66.54,15.01,2010-04-01
61.51,10.63,2010-06-01
61.53,10.6,2010-06-01
63.85,12.21,2010-07-01
61.8,9.78,2010-07-01
69.86,24.89,2010-07-01
62.7,9.22,2010-08-01
61.6,7.16,2010-08-01
61.74,9.8,2010-08-01
61.8,9.78,2010-08-01
62.58,7.28,2010-08-01
65.9,12.72,2010-08-01
61.92,9.56,2010-08-01
61.69,9.87,2010-09-01
66.77,13.81,2010-08-01
61.53,10.59,2010-09-01
66.47,13.93,2010-08-01
66.89,14.64,2010-09-01
62.74,10.87,2010-09-01
62.33,9.78,2010-09-01
65.93,12.73,2010-09-01
62.82,8.82,2010-09-01
69.24,22.31,2010-11-01
69.66,24.85,2010-03-01
64.36,12.85,2010-04-01
64.35,13.18,2010-04-01
67.23,15.8,2010-04-01
61.51,10.63,2010-06-01
60.44,11.6,2010-06-01
69.53,25.0,2010-11-01
64.08,12.06,2010-07-01
62.14,10.88,2010-08-01
62.08,11.09,2010-08-01
61.94,9.52,2010-08-01
62.31,9.76,2010-08-01
62.49,8.97,2010-08-01
62.82,8.44,2010-08-01
63.51,9.68,2010-09-01
62.49,10.51,2010-09-01
62.51,10.48,2010-09-01
62.47,11.39,2010-09-01
61.52,10.59,2010-10-01
67.0,14.12,2010-10-01
69.39,29.46,2010-11-01
65.88,12.75,2010-11-01
70.2,28.62,2010-10-01
64.75,13.51,2010-02-01
67.08,14.14,2010-02-01
64.61,12.43,2010-03-01
69.26,20.91,2010-03-01
70.54,25.99,2010-03-01
69.4,22.43,2010-04-01
64.99,13.77,2010-05-01
61.51,10.63,2010-06-01
61.51,10.63,2010-06-01
61.5,10.64,2010-06-01
61.37,10.47,2010-07-01
62.12,9.79,2010-08-01
61.76,8.36,2010-08-01
62.67,8.78,2010-08-01
61.85,9.6,2010-08-01
62.69,8.71,2010-08-01
62.21,9.89,2010-08-01
62.29,10.97,2010-08-01
62.34,9.73,2010-09-01
62.27,9.97,2010-09-01
61.75,9.98,2010-09-01
61.63,9.94,2010-09-01
66.45,14.0,2010-09-01
62.78,10.66,2010-10-01
66.75,13.87,2010-09-01
62.31,10.63,2010-09-01
67.81,15.84,2010-10-01
68.9,22.88,2010-11-01
65.37,14.37,2010-01-01
65.02,12.8,2010-02-01
64.24,12.92,2010-04-01
69.69,25.55,2010-04-01
64.18,14.01,2010-04-01
70.04,26.51,2010-04-01
61.51,10.63,2010-06-01
62.68,8.78,2010-08-01
61.93,9.57,2010-08-01
62.12,10.88,2010-07-01
61.9,9.56,2010-08-01
62.31,11.06,2010-08-01
61.78,10.03,2010-08-01
62.62,9.41,2010-08-01
61.76,8.38,2010-08-01
62.58,7.25,2010-08-01
62.37,10.36,2010-09-01
63.11,12.06,2010-09-01
62.37,7.98,2010-09-01
61.56,7.71,2010-09-01
62.37,7.95,2010-09-01
62.77,10.79,2010-09-01
62.51,10.52,2010-09-01
62.01,9.58,2010-09-01
62.69,9.03,2010-10-01
64.55,11.69,2010-02-01
66.56,13.48,2010-03-01
66.29,14.11,2010-03-01
70.41,27.84,2010-04-01
64.18,14.01,2010-04-01
70.05,26.49,2010-04-01
64.36,12.85,2010-04-01
67.23,15.8,2010-04-01
61.32,10.0,2010-07-01
63.23,30.43,2010-08-01
61.56,10.64,2010-06-01
61.94,9.57,2010-08-01
62.3,10.0,2010-08-01
62.7,8.7,2010-08-01
62.34,7.96,2010-09-01
62.83,8.43,2010-08-01
66.96,14.58,2010-09-01
62.52,10.51,2010-10-01
65.8,14.55,2010-10-01
64.85,12.12,2010-12-01
69.98,28.89,2010-02-01
70.01,28.81,2010-02-01
64.68,12.17,2010-02-01
64.32,12.86,2010-03-01
64.09,11.97,2010-03-01
64.54,12.41,2010-04-01
65.38,13.86,2010-05-01
64.55,11.69,2010-04-01
61.53,10.6,2010-06-01
61.56,10.64,2010-06-01
61.94,9.57,2010-08-01
62.3,10.0,2010-08-01
62.7,8.7,2010-08-01
61.46,10.57,2010-08-01
62.58,7.26,2010-08-01
63.83,12.03,2010-08-01
61.47,10.63,2010-09-01
63.81,12.06,2010-08-01
66.76,13.83,2010-08-01
61.92,9.55,2010-08-01
61.9,9.58,2010-08-01
62.06,9.36,2010-09-01
61.64,9.92,2010-09-01
64.43,12.16,2010-10-01
65.8,14.54,2010-10-01
66.27,14.09,2010-03-01
64.17,13.07,2010-05-01
66.35,13.54,2010-06-01
61.51,10.63,2010-06-01
61.37,10.47,2010-07-01
61.77,9.9,2010-08-01
61.94,9.57,2010-08-01
61.81,9.8,2010-08-01
61.75,8.34,2010-08-01
61.78,10.03,2010-08-01
62.38,8.44,2010-08-01
62.62,9.41,2010-09-01
61.47,10.63,2010-09-01
62.37,7.96,2010-09-01
62.78,10.7,2010-09-01
61.79,10.05,2010-09-01
61.91,9.55,2010-08-01
62.33,10.2,2010-09-01
62.67,8.77,2010-08-01
62.62,9.87,2010-10-01
65.8,14.53,2010-10-01
69.28,19.83,2010-10-01
69.75,23.29,2010-11-01
69.08,25.1,2010-12-01
69.82,28.76,2010-02-01
64.36,12.86,2010-03-01
69.29,22.09,2010-05-01
64.34,13.29,2010-05-01
61.53,10.58,2010-06-01
61.53,10.58,2010-06-01
62.12,9.98,2010-07-01
63.85,12.21,2010-07-01
61.37,10.47,2010-07-01
62.3,10.0,2010-08-01
62.67,9.42,2010-08-01
62.23,11.57,2010-07-01
61.74,8.28,2010-08-01
62.45,9.76,2010-09-01
62.44,10.62,2010-09-01
62.28,9.94,2010-09-01
62.68,9.38,2010-09-01
62.9,8.93,2010-07-01
61.54,10.59,2010-09-01
61.77,10.03,2010-09-01
61.91,9.55,2010-08-01
62.06,9.35,2010-09-01
62.01,9.28,2010-09-01
61.65,9.94,2010-09-01
61.96,9.42,2010-09-01
62.51,10.48,2010-09-01
59.6,6.99,2010-09-01
66.93,13.82,2010-09-01
66.75,13.87,2010-09-01
62.46,10.59,2010-10-01
62.33,9.78,2010-09-01
61.77,10.16,2010-10-01
59.46,6.87,2010-10-01
65.84,12.9,2010-12-01
64.86,13.26,2010-12-01
69.53,24.43,2010-03-01
70.41,28.95,2010-04-01
69.2,23.29,2010-05-01
65.75,13.36,2010-05-01
66.84,15.4,2010-04-01
69.88,24.92,2010-06-01
70.64,28.86,2010-05-01
70.32,27.68,2010-04-01
70.29,27.48,2010-05-01
70.15,25.9,2010-05-01
60.4,12.33,2010-12-01
62.21,9.94,2010-07-01
61.8,9.79,2010-07-01
61.91,10.46,2010-07-01
61.91,10.46,2010-07-01
61.76,8.34,2010-08-01
68.38,17.47,2010-11-01
66.45,14.12,2010-08-01
62.41,9.84,2010-08-01
62.81,8.41,2010-08-01
62.69,9.36,2010-08-01
62.71,10.86,2010-09-01
62.31,9.73,2010-08-01
61.75,9.98,2010-09-01
62.69,12.09,2010-09-01
62.25,10.14,2010-08-01
62.58,10.1,2010-09-01
62.07,9.52,2010-09-01
62.25,10.04,2010-09-01
62.61,9.92,2010-10-01
62.44,10.47,2010-10-01
70.07,27.21,2010-01-01
64.05,12.1,2010-02-01
65.73,13.32,2010-02-01
69.52,24.41,2010-03-01
65.23,14.22,2010-02-01
64.52,13.43,2010-03-01
69.88,28.58,2010-03-01
61.51,10.64,2010-06-01
62.18,9.87,2010-06-01
61.32,9.91,2010-07-01
61.38,10.47,2010-07-01
61.43,10.11,2010-07-01
61.37,8.92,2010-07-01
62.56,7.23,2010-08-01
61.77,8.33,2010-08-01
61.78,10.03,2010-08-01
68.48,17.92,2010-11-01
62.05,9.52,2010-08-01
62.48,10.66,2010-09-01
66.45,14.12,2010-08-01
62.41,9.84,2010-08-01
62.81,8.41,2010-08-01
