ÒCountyÓ;ÓProtected area (km²)";" ";" ";" "
" ";"National parks";"Nature reserves";"Landscape protected areas";"Other protections"
"Marnardal";..;0.06;..;..
"Åseral";..;2.22;227.21;..
"Audnedal";..;1.88;..;..
"Lindesnes";..;2.00;..;..
"Lyngdal";..;1.39;..;0.20
"Hægebostad";..;6.86;77.23;..
"Kvinesdal";..;1.07;95.59;..
"Sirdal";..;13.92;417.60;..
"Eigersund";..;0.59;..;1.37
"Sandnes";..;1.64;..;0.53
"Stavanger";..;0.10;..;0.00
"Haugesund";..;0.66;..;..
"Sokndal";..;1.79;..;0.13
"Lund";..;3.23;8.66;..
"Bjerkreim";..;0.33;..;0.05
"Hå";..;1.78;18.69;2.55
"Klepp";..;10.61;3.19;3.21
"Time";..;1.26;5.97;0.17
"Gjesdal";..;3.51;154.84;..
"Sola";..;1.12;4.62;3.52
"Randaberg";..;0.08;1.45;1.07
"Forsand";..;7.24;220.62;..
"Strand";..;1.19;..;..
"Hjelmeland";..;11.70;245.74;..
"Suldal";..;12.62;383.36;22.38
"Sauda";..;0.67;..;..
"Finnøy";..;2.15;..;0.24
"Rennesøy";..;0.36;..;1.10
"Kvitsøy";..;0.46;..;..
"Bokn";..;0.22;..;..
"Tysvær";..;0.96;..;0.05
"Karmøy";..;1.71;..;..
"Utsira";..;0.11;..;..
"Vindafjord";..;1.07;..;0.00
"Bergen";..;3.84;0.38;0.03
"Etne";112.50;0.07;0.25;0.00
"Sveio";..;2.56;..;..
"Bømlo";..;8.37;..;..
"Stord";..;0.71;0.52;..
"Fitjar";..;0.31;..;0.00
"Tysnes";..;4.50;..;..
"Kvinnherad";279.56;10.62;33.39;0.00
"Jondal";1.19;3.34;..;..
"Odda";534.70;0.39;21.32;..
"Ullensvang";861.06;..;..;0.00
"Eidfjord";574.33;4.34;311.12;0.00
"Ulvik";90.60;0.01;79.02;6.74
"Granvin";..;1.79;..;..
"Voss";..;2.51;105.93;0.00
"Kvam";..;7.81;0.29;0.00
"Fusa";..;19.95;..;0.00
"Samnanger";..;..;..;0.00
"Os (Hord.)";..;0.23;..;0.00
"Austevoll";..;4.26;..;0.00
"Sund";..;0.25;..;..
"Fjell";..;0.23;..;..
"Askøy";..;0.78;..;..
"Vaksdal";..;0.11;16.08;0.00
"Modalen";..;4.75;6.17;0.00
"Osterøy";..;2.43;..;0.00
"Meland";..;..;..;..
"Øygarden";..;1.27;..;..
"Radøy";..;0.19;..;..
"Lindås";..;1.55;..;0.00
"Austrheim";..;0.21;..;..
"Fedje";..;0.37;0.83;..
"Masfjorden";..;0.26;..;..
"Flora";..;7.29;65.85;0.73
"Gulen";..;4.51;..;..
"Solund";..;3.21;..;..
"Hyllestad";..;1.54;..;1.15
"Høyanger";..;1.20;80.74;0.00
"Vik";..;2.32;286.24;0.00
"Balestrand";8.34;0.05;..;..
"Leikanger";..;1.42;..;..
"Sogndal";106.91;9.37;..;..
"Aurland";7.44;15.19;464.50;0.00
"Lærdal";..;22.37;18.39;..
"Årdal";51.71;15.17;231.40;0.00
"Luster";1183.10;49.82;152.31;1.83
"Askvoll";..;6.15;..;..
"Fjaler";..;1.61;..;0.00
"Gaular";..;1.37;0.02;..
"Jølster";141.93;0.86;54.41;..
"Førde";39.49;1.77;24.57;..
"Naustdal";..;0.79;82.54;..
"Bremanger";..;6.95;69.34;0.00
"Vågsøy";..;5.52;..;..
"Selje";..;5.87;..;0.00
"Eid";..;1.86;..;..
"Hornindal";..;0.40;..;0.00
"Gloppen";40.98;4.58;327.36;0.01
"Stryn";467.29;8.05;0.06;0.00
"Molde";..;6.99;0.22;0.00
"Ålesund";..;0.21;..;..
"Kristiansund";..;0.25;..;..
"Vanylven";..;0.06;..;..
"Sande (M. og R.)";..;2.10;..;0.00
"Herøy (M. og R.)";..;1.54;..;1.82
"Ulstein";..;3.48;..;0.80
"Hareid";..;3.60;..;..
"Volda";..;0.07;..;..
"Ørsta";..;5.33;0.34;..
"Ørskog";..;7.01;..;..
"Norddal";231.40;1.39;343.36;0.00
"Stranda";..;1.04;271.18;0.00
"Stordal";..;1.11;..;..
"Sykkylven";..;4.03;..;..
"Skodje";..;5.57;..;..
"Sula";..;6.30;..;..
"Giske";..;1.90;..;0.44
"Haram";..;3.81;..;0.92
"Vestnes";..;4.10;..;..
"Rauma";375.44;4.64;323.44;86.74
"Nesset";9.55;16.20;419.66;71.01
"Midsund";..;0.71;..;..
"Sandøy";..;0.79;..;0.12
"Aukra";..;1.17;..;0.25
"Fræna";..;12.75;..;0.10
"Eide";..;2.78;..;1.10
"Averøy";..;1.98;..;..
"Gjemnes";..;6.12;..;..
"Tingvoll";..;3.25;..;..
"Sunndal";572.49;12.64;495.17;77.84
"Surnadal";..;22.01;486.94;..
"Rindal";..;6.68;151.49;..
"Halsa";..;2.15;..;..
"Smøla";..;54.85;27.40;..
"Aure";..;9.62;..;..
"Trondheim";..;12.34;0.01;0.00
"Hemne";..;4.26;..;0.00
"Snillfjord";..;0.22;..;..
"Hitra";..;40.98;..;..
"Frøya";..;7.15;8.23;..
"Ørland";..;0.49;0.68;0.86
"Agdenes";..;1.92;..;..
"Rissa";..;1.98;0.11;0.08
"Bjugn";..;31.97;4.80;0.66
"Åfjord";..;29.14;0.04;0.19
"Roan";..;8.06;..;..
"Osen";..;14.10;..;..
"Oppdal";588.33;6.87;704.02;..
"Rennebu";47.87;4.43;109.68;..
"Meldal";..;14.68;37.47;0.00
"Orkdal";..;49.30;..;..
"Røros";243.49;61.40;192.87;0.00
"Holtålen";201.21;10.46;93.10;..
"Midtre Gauldal";339.02;56.19;99.35;0.27
"Melhus";..;1.65;0.01;..
"Skaun";..;0.71;..;..
"Klæbu";..;6.19;..;..
"Malvik";..;2.64;..;..
"Selbu";229.81;16.64;..;0.20
"Tydal";40.66;26.90;330.11;..
"Steinkjer";2.38;63.13;54.13;0.47
"Namsos";..;71.72;..;..
"Meråker";141.58;111.45;..;..
"Stjørdal";29.63;28.01;..;0.07
"Frosta";..;0.45;..;1.46
"Leksvik";..;3.44;..;..
"Levanger";..;83.38;..;0.26
"Verdal";311.16;12.58;0.00;1.11
"Verran";..;9.04;..;0.06
"Namdalseid";..;99.58;..;..
"Snåase - Snåsa";950.44;24.81;44.91;0.75
"Lierne";903.96;103.32;..;..
"Raarvihke - Røyrvik";453.84;9.61;..;..
"Namsskogan";52.08;14.24;..;..
"Grong";88.59;43.58;..;..
"Høylandet";..;30.42;..;0.92
"Overhalla";..;36.33;..;..
"Fosnes";..;0.17;..;..
"Flatanger";..;18.64;..;0.60
"Vikna";..;24.86;..;0.11
"Nærøy";..;84.07;..;..
"Leka";..;1.95;..;5.02
"Inderøy";..;0.47;..;0.11
"Bodø";195.92;34.44;83.02;..
"Narvik";..;4.60;..;..
"Bindal";..;24.12;..;0.34
"Sømna";..;1.20;..;0.99
"Brønnøy";335.79;3.81;..;0.15
"Vega";..;8.82;7.15;2.38
"Vevelstad";276.01;..;32.07;..
"Herøy (Nordl.)";..;2.52;1.47;..
"Alstahaug";..;0.47;..;..
"Leirfjord";..;..;..;..
"Vefsn";239.13;12.72;..;..
"Grane";541.04;133.79;..;..
"Hattfjelldal";649.89;68.94;58.54;0.00
"Dønna";..;2.22;9.30;..
"Nesna";..;0.86;..;..
