lat,lng,dates
60.85,11.94,2012-04-01
68.73,17.76,2012-01-01
68.89,18.89,2012-02-01
70.49,29.91,2012-05-01
63.69,11.66,2012-09-01
64.98,12.65,2012-04-01
62.65,9.42,2012-06-01
68.98,19.21,2012-12-01
66.27,14.08,2012-04-01
69.01,18.07,2012-05-01
70.29,27.02,2012-05-01
69.09,19.03,2012-05-01
70.55,24.46,2012-06-01
70.44,29.25,2012-02-01
68.75,20.12,2012-05-01
62.67,8.73,2012-01-01
63.8,12.17,2012-11-01
68.96,18.16,2012-11-01
62.08,8.9,2012-01-01
65.58,14.28,2012-02-01
61.78,10.56,2012-09-01
65.31,12.72,2012-12-01
66.82,15.72,2012-01-01
61.79,11.81,2012-10-01
68.42,19.76,2012-04-01
69.89,25.61,2012-02-01
61.14,12.67,2012-10-01
70.38,29.55,2012-04-01
61.3,10.78,2012-10-01
67.15,15.36,2012-10-01
61.42,7.57,2012-05-01
68.93,19.92,2012-05-01
68.7,18.41,2012-04-01
62.58,9.12,2012-02-01
61.87,8.82,2012-02-01
61.88,8.79,2012-03-01
69.45,21.06,2012-10-01
68.92,18.66,2012-04-01
69.71,23.03,2012-02-01
70.29,29.49,2012-02-01
68.92,18.66,2012-04-01
69.71,23.03,2012-02-01
70.29,29.49,2012-02-01
65.77,13.15,2012-11-01
68.71,18.48,2012-04-01
61.51,10.6,2012-08-01
68.98,19.21,2012-11-01
61.88,8.79,2012-01-01
69.05,18.17,2012-04-01
69.05,18.17,2012-04-01
62.29,10.48,2012-01-01
61.32,12.69,2012-12-01
70.32,25.03,2012-12-01
70.29,27.02,2012-05-01
69.65,22.28,2012-02-01
59.52,6.83,2012-09-01
69.05,18.17,2012-04-01
68.69,17.98,2012-11-01
63.35,9.68,2012-12-01
70.32,26.95,2012-02-01
69.45,21.06,2012-10-01
67.43,15.61,2012-01-01
62.29,10.48,2012-01-01
62.55,10.63,2012-02-01
61.0,24.46,2012-09-01
61.65,10.54,2012-09-01
62.59,9.33,2012-01-01
68.82,19.71,2012-02-01
70.48,29.84,2012-04-01
69.63,23.35,2012-04-01
62.01,7.87,2012-02-01
62.86,11.74,2012-12-01
61.36,9.08,2012-04-01
69.45,21.06,2012-10-01
68.92,18.66,2012-04-01
69.71,23.03,2012-02-01
70.29,29.49,2012-02-01
65.77,13.15,2012-11-01
68.71,18.48,2012-04-01
61.51,10.6,2012-08-01
61.65,10.54,2012-09-01
62.59,9.33,2012-01-01
68.82,19.71,2012-02-01
70.48,29.84,2012-04-01
69.63,23.35,2012-04-01
62.01,7.87,2012-02-01
62.86,11.74,2012-12-01
61.36,9.08,2012-04-01
67.02,15.17,2012-03-01
68.51,20.01,2012-03-01
68.7,18.14,2012-01-01
66.98,15.49,2012-10-01
69.45,20.58,2012-11-01
62.53,10.38,2012-02-01
69.63,23.35,2012-04-01
61.63,12.0,2012-10-01
62.23,9.32,2012-08-01
65.49,13.72,2012-11-01
64.0,26.0,2012-01-01
65.51,13.73,2012-04-01
64.27,11.75,2012-01-01
62.16,12.11,2012-04-01
70.43,27.27,2012-02-01
61.19,12.07,2012-12-01
63.09,11.1,2012-10-01
70.23,29.86,2012-04-01
65.0,32.0,2012-01-01
69.01,19.19,2012-04-01
62.65,7.93,2012-02-01
62.29,10.48,2012-01-01
62.1,8.55,2012-02-01
68.89,19.01,2012-01-01
68.63,19.95,2012-02-01
68.7,18.41,2012-04-01
68.29,17.23,2012-09-01
