lat,lng,dates
63.99,12.07,2011-01-01
69.19,24.26,2011-01-01
69.2,24.22,2011-01-01
64.41,13.14,2011-01-01
61.7,9.89,2011-08-01
62.09,8.83,2011-09-01
61.7,9.92,2011-09-01
62.8,10.76,2011-09-01
64.13,12.32,2011-08-01
62.69,9.63,2011-09-01
63.81,12.02,2011-09-01
61.68,9.92,2011-09-01
63.99,12.07,2011-01-01
69.19,24.26,2011-01-01
69.2,24.22,2011-01-01
64.41,13.14,2011-01-01
64.4,13.22,2011-01-01
62.27,10.65,2011-10-01
66.32,13.83,2011-10-01
69.19,18.92,2011-12-01
70.28,27.6,2011-03-01
61.93,9.52,2011-09-01
61.97,11.84,2011-03-01
64.25,12.96,2011-02-01
69.42,22.24,2011-10-01
69.99,28.8,2011-03-01
62.06,11.74,2011-03-01
70.37,25.0,2011-05-01
62.52,10.6,2011-07-01
61.46,10.61,2011-08-01
62.11,10.02,2011-08-01
62.41,10.06,2011-08-01
66.34,13.7,2011-09-01
62.51,10.66,2011-08-01
61.86,8.07,2011-08-01
62.29,10.34,2011-08-01
62.51,10.79,2011-10-01
65.92,14.53,2011-09-01
62.88,8.81,2011-08-01
62.63,10.75,2011-09-01
64.34,11.91,2011-08-01
62.42,10.01,2011-09-01
62.91,8.9,2011-09-01
69.7,23.44,2011-01-01
64.12,12.24,2011-01-01
69.2,24.27,2011-01-01
65.76,13.34,2011-01-01
69.06,24.8,2011-02-01
62.45,10.45,2011-10-01
67.0,14.65,2011-09-01
69.18,24.46,2011-02-01
66.48,13.51,2011-05-01
69.02,17.62,2011-02-01
61.8,7.86,2011-09-01
62.3,9.7,2011-08-01
61.13,7.65,2011-08-01
62.51,10.58,2011-08-01
62.48,10.63,2011-08-01
61.3,9.22,2011-09-01
61.7,9.89,2011-08-01
62.69,9.62,2011-08-01
64.1,12.1,2011-08-01
62.59,10.9,2011-08-01
61.7,9.84,2011-08-01
62.41,10.06,2011-08-01
66.34,13.7,2011-09-01
62.51,10.66,2011-08-01
61.86,8.07,2011-08-01
62.29,10.34,2011-08-01
62.51,10.79,2011-10-01
65.92,14.53,2011-09-01
62.88,8.81,2011-08-01
62.63,10.75,2011-09-01
64.34,11.91,2011-08-01
62.42,10.01,2011-09-01
62.91,8.9,2011-09-01
69.7,23.44,2011-01-01
64.12,12.24,2011-01-01
69.2,24.27,2011-01-01
65.76,13.34,2011-01-01
