lat,lng,dates
69.25,20.08,2009-09-01
65.45,13.37,2009-01-01
62.82,10.81,2009-09-01
64.15,12.23,2009-02-01
61.7,9.05,2009-02-01
63.89,10.2,2009-02-01
68.67,18.19,2009-05-01
66.88,14.12,2009-01-01
69.59,21.14,2009-02-01
62.8,10.64,2009-09-01
62.8,10.62,2009-09-01
69.24,19.0,2009-03-01
65.16,13.21,2009-10-01
62.94,9.54,2009-11-01
62.79,10.77,2009-09-01
69.44,20.57,2009-06-01
66.4,13.85,2009-10-01
69.89,24.92,2009-09-01
70.07,25.25,2009-12-01
68.95,33.17,2009-01-01
68.88,18.89,2009-11-01
62.34,7.56,2009-12-01
66.87,15.38,2009-11-01
62.59,9.3,2009-12-01
67.13,18.5,2009-01-01
69.14,19.17,2009-07-01
67.3,15.62,2009-10-01
69.08,18.97,2009-01-01
69.97,21.31,2009-03-01
70.1,27.34,2009-02-01
69.18,18.98,2009-11-01
64.0,26.0,2009-01-01
59.45,6.86,2009-09-01
68.64,17.19,2009-01-01
63.78,10.28,2009-03-01
68.62,17.16,2009-03-01
69.48,20.87,2009-06-01
62.13,8.72,2009-09-01
68.64,17.19,2009-01-01
63.78,10.28,2009-03-01
68.62,17.16,2009-03-01
69.48,20.87,2009-06-01
62.13,8.72,2009-09-01
66.4,13.84,2009-10-01
63.07,10.19,2009-01-01
68.91,18.35,2009-11-01
62.81,9.58,2009-01-01
65.54,13.14,2009-02-01
64.12,12.1,2009-02-01
65.0,32.0,2009-01-01
63.23,11.92,2009-01-01
63.26,11.27,2009-03-01
66.84,15.43,2009-10-01
68.98,19.21,2009-11-01
68.98,19.21,2009-10-01
68.66,16.87,2009-09-01
69.51,20.61,2009-06-01
62.94,9.54,2009-01-01
62.82,9.72,2009-01-01
70.32,25.03,2009-01-01
63.23,11.14,2009-01-01
70.14,29.05,2009-10-01
62.21,8.88,2009-01-01
61.7,9.74,2009-01-01
70.77,24.4,2009-05-01
61.73,10.89,2009-09-01
64.0,32.5,2009-01-01
62.8,10.63,2009-09-01
68.97,24.68,2009-01-01
61.89,7.82,2009-02-01
63.75,12.3,2009-03-01
68.86,18.14,2009-09-01
69.2,20.22,2009-03-01
69.6,21.22,2009-07-01
62.01,9.31,2009-09-01
70.32,25.03,2009-02-01
68.81,17.28,2009-04-01
68.14,16.54,2009-10-01
64.71,12.45,2009-03-01
65.82,32.2,2009-01-01
69.31,18.81,2009-07-01
68.67,17.55,2009-09-01
62.81,9.58,2009-01-01
66.81,15.71,2009-11-01
69.52,20.41,2009-09-01
70.13,24.58,2009-02-01
70.01,22.91,2009-02-01
67.0,27.0,2009-01-01
69.25,20.07,2009-08-01
68.64,17.19,2009-01-01
70.01,28.13,2009-02-01
62.09,8.52,2009-02-01
69.23,18.87,2009-01-01
62.86,11.91,2009-02-01
62.38,7.62,2009-02-01
62.78,10.71,2009-09-01
60.99,7.2,2009-09-01
65.77,14.27,2009-09-01
63.61,11.79,2009-07-01
61.29,6.74,2009-08-01
62.0,9.59,2009-08-01
62.01,9.48,2009-08-01
62.48,9.39,2009-08-01
66.72,13.9,2009-08-01
60.44,11.61,2009-08-01
62.58,9.93,2009-09-01
62.65,7.97,2009-08-01
62.56,9.87,2009-09-01
61.31,6.91,2009-09-01
66.95,15.48,2009-09-01
69.57,23.66,2009-10-01
68.65,25.04,2009-01-01
64.57,12.91,2009-01-01
62.65,7.67,2009-10-01
69.04,25.37,2009-03-01
64.42,12.91,2009-04-01
64.3,13.55,2009-05-01
61.11,7.72,2009-03-01
61.27,6.8,2009-07-01
61.25,6.87,2009-09-01
62.01,9.58,2009-07-01
60.44,11.6,2009-09-01
61.22,6.69,2009-09-01
61.24,6.69,2009-08-01
68.57,17.76,2009-07-01
64.22,11.87,2009-08-01
62.24,10.56,2009-09-01
66.76,13.9,2009-09-01
65.86,13.04,2009-09-01
62.48,9.38,2009-09-01
70.19,28.96,2009-10-01
68.63,18.3,2009-01-01
69.3,25.65,2009-03-01
64.69,13.2,2009-02-01
64.09,12.36,2009-10-01
63.98,10.7,2009-03-01
65.31,13.59,2009-04-01
64.09,12.36,2009-10-01
63.98,10.7,2009-03-01
65.31,13.59,2009-04-01
62.16,9.81,2009-04-01
68.93,18.69,2009-05-01
69.36,21.64,2009-12-01
64.69,12.54,2009-07-01
62.12,10.46,2009-09-01
62.14,10.76,2009-07-01
62.69,8.71,2009-08-01
62.15,10.7,2009-08-01
61.92,9.56,2009-08-01
61.28,6.77,2009-08-01
61.82,10.07,2009-08-01
61.98,9.56,2009-08-01
62.62,7.94,2009-08-01
61.28,6.75,2009-08-01
62.7,7.82,2009-09-01
62.32,8.01,2009-09-01
70.19,28.84,2009-10-01
64.57,12.91,2009-01-01
62.65,7.67,2009-10-01
69.04,25.37,2009-03-01
64.42,12.91,2009-04-01
64.3,13.55,2009-05-01
64.38,12.12,2009-04-01
66.13,14.36,2009-04-01
64.96,13.02,2009-11-01
69.24,24.35,2009-12-01
70.2,28.77,2009-07-01
62.4,10.17,2009-07-01
60.98,7.84,2009-09-01
61.26,6.74,2009-08-01
69.7,21.83,2009-07-01
61.98,9.86,2009-08-01
66.76,13.89,2009-08-01
62.16,8.68,2009-09-01
62.69,9.32,2009-10-01
62.44,10.62,2009-09-01
65.72,14.11,2009-09-01
63.13,12.07,2009-08-01
61.0,7.35,2009-09-01
68.96,19.47,2009-02-01
69.94,25.02,2009-04-01
70.05,25.17,2009-04-01
61.64,7.13,2009-03-01
69.6,24.25,2009-06-01
62.7,9.3,2009-09-01
65.88,13.07,2009-09-01
61.27,6.8,2009-07-01
62.21,10.71,2009-07-01
61.89,10.14,2009-09-01
66.75,13.87,2009-08-01
62.62,10.89,2009-08-01
65.72,14.37,2009-08-01
70.2,28.87,2009-10-01
66.76,13.91,2009-09-01
62.6,9.23,2009-09-01
64.72,12.67,2009-08-01
61.27,6.81,2009-09-01
62.46,9.42,2009-09-01
69.07,19.08,2009-01-01
66.66,13.62,2009-10-01
64.3,12.64,2009-03-01
61.35,7.56,2009-03-01
69.53,23.78,2009-06-01
62.89,8.91,2009-08-01
61.94,9.5,2009-08-01
61.73,9.73,2009-10-01
61.01,7.93,2009-09-01
64.64,12.56,2009-08-01
68.39,16.78,2009-08-01
62.9,9.0,2009-08-01
62.0,9.55,2009-08-01
61.26,6.73,2009-08-01
61.24,6.74,2009-09-01
61.69,8.33,2009-02-01
64.2,11.55,2009-10-01
69.83,29.07,2009-03-01
68.94,22.36,2009-03-01
70.2,28.87,2009-10-01
66.76,13.91,2009-09-01
62.6,9.23,2009-09-01
64.72,12.67,2009-08-01
61.27,6.81,2009-09-01
62.46,9.42,2009-09-01
69.07,19.08,2009-01-01
66.66,13.62,2009-10-01
64.3,12.64,2009-03-01
61.35,7.56,2009-03-01
69.53,23.78,2009-06-01
62.89,8.91,2009-08-01
61.94,9.5,2009-08-01
61.73,9.73,2009-10-01
61.01,7.93,2009-09-01
64.64,12.56,2009-08-01
68.39,16.78,2009-08-01
62.9,9.0,2009-08-01
62.0,9.55,2009-08-01
61.26,6.73,2009-08-01
61.24,6.74,2009-09-01
61.69,8.33,2009-02-01
64.2,11.55,2009-10-01
69.83,29.07,2009-03-01
68.94,22.36,2009-03-01
64.86,12.51,2009-03-01
64.36,13.04,2009-04-01
66.25,14.86,2009-04-01
62.75,10.71,2009-09-01
60.99,7.2,2009-09-01
62.33,9.78,2009-08-01
70.19,28.99,2009-10-01
61.28,6.77,2009-08-01
61.29,6.93,2009-09-01
